Condition | Variable | InitBelief | Correct | Total | Accuracy
-----------------------------------------------------------------
false_belief | backward_belief |          0 |       4 |     8 |   50.0%
false_belief | backward_belief |          1 |       2 |     6 |   33.3%
false_belief | forward_belief  |          1 |       6 |     8 |   75.0%
false_belief | forward_belief  |          0 |       3 |     5 |   60.0%
false_belief | forward_action  |          0 |       7 |     9 |   77.8%
false_belief | forward_action  |          1 |       4 |     6 |   66.7%
false_control | forward_action  |          1 |       9 |    14 |   64.3%
false_control | forward_action  |          0 |       6 |     9 |   66.7%
false_control | backward_belief |          0 |       6 |     7 |   85.7%
false_control | backward_belief |          1 |       6 |     6 |  100.0%
false_control | forward_belief  |          1 |       6 |     8 |   75.0%
false_control | forward_belief  |          0 |       3 |     6 |   50.0%
true_control | forward_belief  |          1 |       6 |     8 |   75.0%
true_control | forward_belief  |          0 |       4 |     6 |   66.7%
true_control | backward_belief |          0 |       6 |    14 |   42.9%
true_control | backward_belief |          1 |       6 |     7 |   85.7%
true_control | forward_action  |          0 |       8 |     9 |   88.9%
true_control | forward_action  |          1 |       8 |     9 |   88.9%
true_belief | forward_action  |          1 |       7 |     8 |   87.5%
true_belief | forward_action  |          0 |       6 |     8 |   75.0%
true_belief | forward_belief  |          1 |       0 |    11 |    0.0%
true_belief | forward_belief  |          0 |       7 |     9 |   77.8%
true_belief | backward_belief |          0 |       2 |     6 |   33.3%
true_belief | backward_belief |          1 |       0 |     9 |    0.0%
true_belief | percept_to_belief |          1 |       0 |     4 |    0.0%
Overall accuracy: 61.00%
