Condition | Variable | InitBelief | Correct | Total | Accuracy
-----------------------------------------------------------------
false_belief | backward_belief |          0 |       4 |     8 |   50.0%
false_belief | backward_belief |          1 |       3 |     6 |   50.0%
false_belief | forward_belief  |          1 |       2 |     8 |   25.0%
false_belief | forward_belief  |          0 |       1 |     5 |   20.0%
false_belief | forward_action  |          0 |       2 |     9 |   22.2%
false_belief | forward_action  |          1 |       2 |     6 |   33.3%
false_control | forward_action  |          1 |      10 |    14 |   71.4%
false_control | forward_action  |          0 |       6 |     9 |   66.7%
false_control | backward_belief |          0 |       1 |     7 |   14.3%
false_control | backward_belief |          1 |       4 |     6 |   66.7%
false_control | forward_belief  |          1 |       5 |     8 |   62.5%
false_control | forward_belief  |          0 |       1 |     6 |   16.7%
true_control | forward_belief  |          1 |       5 |     8 |   62.5%
true_control | forward_belief  |          0 |       2 |     6 |   33.3%
true_control | backward_belief |          0 |       5 |    14 |   35.7%
true_control | backward_belief |          1 |       6 |     7 |   85.7%
true_control | forward_action  |          0 |       7 |     9 |   77.8%
true_control | forward_action  |          1 |       5 |     9 |   55.6%
true_belief | forward_action  |          1 |       2 |     8 |   25.0%
true_belief | forward_action  |          0 |       5 |     8 |   62.5%
true_belief | forward_belief  |          1 |       1 |    11 |    9.1%
true_belief | forward_belief  |          0 |       3 |     9 |   33.3%
true_belief | backward_belief |          0 |       0 |     6 |    0.0%
true_belief | backward_belief |          1 |       1 |     9 |   11.1%
true_belief | percept_to_belief |          1 |       1 |     4 |   25.0%
Overall accuracy: 42.00%
