Condition | Variable | InitBelief | Correct | Total | Accuracy
-----------------------------------------------------------------
false_belief | backward_belief |          0 |       7 |     8 |   87.5%
false_belief | backward_belief |          1 |       5 |     6 |   83.3%
false_belief | forward_belief  |          1 |       7 |     8 |   87.5%
false_belief | forward_belief  |          0 |       2 |     5 |   40.0%
false_belief | forward_action  |          0 |       9 |     9 |  100.0%
false_belief | forward_action  |          1 |       5 |     6 |   83.3%
false_control | forward_action  |          1 |      12 |    14 |   85.7%
false_control | forward_action  |          0 |       9 |     9 |  100.0%
false_control | backward_belief |          0 |       5 |     7 |   71.4%
false_control | backward_belief |          1 |       5 |     6 |   83.3%
false_control | forward_belief  |          1 |       8 |     8 |  100.0%
false_control | forward_belief  |          0 |       4 |     6 |   66.7%
true_control | forward_belief  |          1 |       8 |     8 |  100.0%
true_control | forward_belief  |          0 |       6 |     6 |  100.0%
true_control | backward_belief |          0 |      12 |    14 |   85.7%
true_control | backward_belief |          1 |       7 |     7 |  100.0%
true_control | forward_action  |          0 |       7 |     9 |   77.8%
true_control | forward_action  |          1 |       8 |     9 |   88.9%
true_belief | forward_action  |          1 |       6 |     8 |   75.0%
true_belief | forward_action  |          0 |       7 |     8 |   87.5%
true_belief | forward_belief  |          1 |       8 |    11 |   72.7%
true_belief | forward_belief  |          0 |       8 |     9 |   88.9%
true_belief | backward_belief |          0 |       4 |     6 |   66.7%
true_belief | backward_belief |          1 |       4 |     9 |   44.4%
true_belief | percept_to_belief |          1 |       3 |     4 |   75.0%
Overall accuracy: 83.00%
