Condition | Variable | InitBelief | Correct | Total | Accuracy
-----------------------------------------------------------------
false_belief | backward_belief |          0 |       5 |     8 |   62.5%
false_belief | backward_belief |          1 |       3 |     6 |   50.0%
false_belief | forward_belief  |          1 |       5 |     8 |   62.5%
false_belief | forward_belief  |          0 |       4 |     5 |   80.0%
false_belief | forward_action  |          0 |       7 |     9 |   77.8%
false_belief | forward_action  |          1 |       6 |     6 |  100.0%
false_control | forward_action  |          1 |      14 |    14 |  100.0%
false_control | forward_action  |          0 |       8 |     9 |   88.9%
false_control | backward_belief |          0 |       5 |     7 |   71.4%
false_control | backward_belief |          1 |       5 |     6 |   83.3%
false_control | forward_belief  |          1 |       8 |     8 |  100.0%
false_control | forward_belief  |          0 |       4 |     6 |   66.7%
true_control | forward_belief  |          1 |       7 |     8 |   87.5%
true_control | forward_belief  |          0 |       4 |     6 |   66.7%
true_control | backward_belief |          0 |      10 |    14 |   71.4%
true_control | backward_belief |          1 |       5 |     7 |   71.4%
true_control | forward_action  |          0 |       9 |     9 |  100.0%
true_control | forward_action  |          1 |       8 |     9 |   88.9%
true_belief | forward_action  |          1 |       8 |     8 |  100.0%
true_belief | forward_action  |          0 |       7 |     8 |   87.5%
true_belief | forward_belief  |          1 |       6 |    11 |   54.5%
true_belief | forward_belief  |          0 |       4 |     9 |   44.4%
true_belief | backward_belief |          0 |       2 |     6 |   33.3%
true_belief | backward_belief |          1 |       4 |     9 |   44.4%
true_belief | percept_to_belief |          1 |       1 |     4 |   25.0%
Overall accuracy: 74.50%
